symbol,symbol_numeric,symbol_numeric_normalized
AA,65,1.03440060653305
AAP,80,1.6679819571201
ADNT,43,0.105147959005387
AMN,79,1.62574320041429
AROC,0,-1.71111857934414
ASB,13,-1.1620147421687
BBIO,9,-1.33096976899191
BEAM,53,0.527535526063417
BEN,23,-0.739627175110673
BLFS,10,-1.28873101228611
BOX,30,-0.443955878170052
BRX,17,-0.993059715345491
BTU,18,-0.950820958639688
BWA,57,0.696490552886629
CAG,40,-0.0215683111120221
CAL,28,-0.528433391581658
CARG,19,-0.908582201933885
CEVA,27,-0.570672148287461
CNK,4,-1.54216355252093
CNP,35,-0.232762094641037
CPRI,67,1.11887811994466
CRSP,76,1.49902693029689
CVGW,38,-0.106045824523628
DAR,75,1.45678817359108
DAVA,77,1.54126568700269
DBX,21,-0.824104688522279
DOC,2,-1.62664106593254
DVN,72,1.33007190347367
EQT,55,0.612013039475023
FCPT,25,-0.655149661699067
FIVN,78,1.58350444370849
FL,36,-0.190523337935234
FTI,3,-1.58440230922673
FUN,66,1.07663936323886
FVRR,49,0.358580499240205
GH,52,0.485296769357614
HAL,48,0.316341742534402
HP,59,0.780968066298235
ICHR,42,0.0629092022995839
INTC,47,0.274102985828599
IPG,39,-0.0638070678178251
IRDM,63,0.949923093121447
JD,64,0.99216184982725
JWN,11,-1.24649225558031
KELYA,8,-1.37320852569772
KURA,1,-1.66887982263834
LNC,54,0.56977428276922
LUV,45,0.189625472416993
MOS,62,0.907684336415644
MRO,24,-0.69738841840487
MYGN,14,-1.1197759854629
NEP,70,1.24559439006207
NI,33,-0.317239608052643
NTCT,26,-0.612910904993264
NTGR,6,-1.45768603910932
NTLA,61,0.865445579709841
PDCO,29,-0.486194634875855
PINS,32,-0.359478364758446
PLAB,15,-1.0775372287571
PLYM,16,-1.03529847205129
PRGO,44,0.14738671571119
QFIN,7,-1.41544728240352
RAMP,34,-0.27500085134684
RF,12,-1.20425349887451
RMBS,68,1.16111687665046
RPD,74,1.41454941688528
RRC,37,-0.148284581229431
RVLV,22,-0.781865931816476
SEDG,81,1.7102207138259
SLM,5,-1.49992479581513
SMTC,56,0.654251796180826
SPT,71,1.28783314676787
SSTK,73,1.37231066017948
TDC,58,0.738729309592432
TNDM,69,1.20335563335626
TPR,60,0.823206823004038
UCTT,51,0.443058012651811
URBN,41,0.0206704455937809
VIRT,20,-0.866343445228082
VNO,31,-0.401717121464249
VRNT,50,0.400819255946008
XRAY,46,0.231864229122796
